e,xmu,bkg,pre_edge,post_edge,der,sec,chie
7112.5573,0.57242517,0.57324787,0.20205319,0.57421511,1.37E-04,3.34E-06,-2.19E-03
7117.4984,0.57305132,0.57378812,0.20246985,0.57469532,1.66E-04,6.12E-06,-1.97E-03
7122.4162,0.57406048,0.57432757,0.20288454,0.5751748,1.98E-04,1.19E-07,-7.12E-04
7127.3451,0.57499621,0.57486997,0.20330016,0.57565689,1.67E-04,-5.97E-06,3.37E-04
7132.2774,0.57570774,0.57541443,0.20371607,0.57614084,1.39E-04,-2.81E-06,7.82E-04
7136.9924,0.57633376,0.57593645,0.20411365,0.5766049,1.40E-04,-8.00E-07,1.06E-03
7141.9478,0.57706136,0.57648669,0.20453151,0.57709414,1.31E-04,-2.03E-06,1.53E-03
7146.9417,0.5776362,0.57704282,0.20495262,0.57758875,1.20E-04,-1.66E-07,1.58E-03
7151.7026,0.57823017,0.57757447,0.20535408,0.57806173,1.29E-04,2.74E-07,1.75E-03
7156.4527,0.57886588,0.57810633,0.20575462,0.57853508,1.22E-04,5.09E-07,2.03E-03
7161.4185,0.57941963,0.5786638,0.20617336,0.57903143,1.34E-04,2.70E-07,2.02E-03
7166.3937,0.5802003,0.5792238,0.20659289,0.57953029,1.25E-04,-5.45E-06,2.60E-03
7171.3602,0.5806634,0.57978425,0.20701169,0.58002984,8.00E-05,-4.10E-06,2.35E-03
7176.3528,0.58099723,0.58034903,0.20743268,0.58053356,8.42E-05,1.19E-06,1.73E-03
7181.3468,0.58150468,0.58091535,0.2078538,0.58103902,9.19E-05,-1.19E-07,1.57E-03
7186.3527,0.58191655,0.58148434,0.20827591,0.58154724,8.31E-05,-1.53E-07,1.15E-03
7191.1604,0.58231975,0.58203202,0.20868131,0.58203684,9.04E-05,-9.40E-09,7.67E-04
7195.9624,0.58278559,0.58258023,0.20908624,0.58252731,8.30E-05,-1.40E-06,5.48E-04
7200.9948,0.58313567,0.58315593,0.20951059,0.58304287,7.66E-05,1.34E-06,-5.41E-05
7206.0362,0.5835576,0.58373386,0.2099357,0.58356095,9.65E-05,3.89E-06,-4.70E-04
7211.0757,0.58410839,0.58431275,0.21036065,0.58408044,1.16E-04,1.38E-06,-5.45E-04
7216.1582,0.58472985,0.58489771,0.21078923,0.58460598,1.10E-04,-2.83E-06,-4.48E-04
