e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
8.08,126965.625,8.08,46218.75,0.08,10510.1563,8.08,83050,0.08,47364.8438
8.06,127628.125,8.06,46831.25,0.06,10516.4063,8.06,83990.625,0.06,47146.0938
8.04,124365.625,8.04,46081.25,0.04,10449.6094,8.04,82246.875,0.04,46667.5781
8.02,121996.875,8.02,45128.125,0.02,10312.1094,8.02,81840.625,0.02,46199.6094
8,120612.5,8,44287.5,0,10242.9688,8,81084.375,0,46055.0781
7.98,119490.625,7.98,44321.875,-0.02,10349.2188,7.98,80865.625,-0.02,45651.1719
7.96,117900,7.96,42946.875,-0.04,10163.6719,7.96,80025,-0.04,45378.125
7.94,114890.625,7.94,42662.5,-0.06,10290.2344,7.94,79137.5,-0.06,45011.7188
7.92,112406.25,7.92,42065.625,-0.08,10135.9375,7.92,78850,-0.08,44567.5781
7.9,110618.75,7.9,41343.75,-0.1,10115.2344,7.9,78121.875,-0.1,44694.1406
7.88,109584.375,7.88,40000,-0.12,10130.4688,7.88,76946.875,-0.12,44181.25
7.86,108715.625,7.86,40156.25,-0.14,9914.8438,7.86,77043.75,-0.14,44064.0625
7.84,107412.5,7.84,39481.25,-0.16,9981.25,7.84,75568.75,-0.16,43570.7031
7.82,106181.25,7.82,38828.125,-0.18,9615.2344,7.82,75659.375,-0.18,43171.4844
7.8,104162.5,7.8,38737.5,-0.2,9977.7344,7.8,75950,-0.2,42878.125
7.78,103337.5,7.78,38462.5,-0.22,9621.4844,7.78,74887.5,-0.22,42828.125
7.76,101250,7.76,37996.875,-0.24,9633.2031,7.76,74525,-0.24,42159.375
7.74,99971.875,7.74,36446.875,-0.26,9449.6094,7.74,73706.25,-0.26,41676.5625
7.72,97275,7.72,36534.375,-0.28,9305.8594,7.72,73031.25,-0.28,41864.0625
7.7,96371.875,7.7,35981.25,-0.3,9253.5156,7.7,72571.875,-0.3,41385.1563
7.68,95409.375,7.68,36206.25,-0.32,9295.3125,7.68,72884.375,-0.32,40996.0938
7.66,93528.125,7.66,34828.125,-0.34,9280.4688,7.66,71768.75,-0.34,40885.1563
7.64,93971.875,7.64,33853.125,-0.36,9275.7813,7.64,70534.375,-0.36,40580.4688
7.62,92562.5,7.62,33584.375,-0.38,9285.5469,7.62,71215.625,-0.38,40001.9531
7.6,90750,7.6,33506.25,-0.4,9124.6094,7.6,70365.625,-0.4,39290.2344
7.58,89550,7.58,33109.375,-0.42,9054.6875,7.58,69946.875,-0.42,39213.6719
7.56,88459.375,7.56,32875,-0.44,9041.4063,7.56,69203.125,-0.44,38774.2188
7.54,88037.5,7.54,31706.25,-0.46,8942.5781,7.54,69206.25,-0.46,38252.7344
7.52,86337.5,7.52,32306.25,-0.48,8962.5,7.52,68540.625,-0.48,37662.8906
7.5,84843.75,7.5,32240.625,-0.5,8790.2344,7.5,67368.75,-0.5,37374.6094
7.48,83621.875,7.48,31228.125,-0.52,8655.8594,7.48,67356.25,-0.52,36952.3438
7.46,82965.625,7.46,31487.5,-0.54,8617.9688,7.46,67443.75,-0.54,36772.2656
7.44,81918.75,7.44,30921.875,-0.56,8586.3281,7.44,65971.875,-0.56,36280.0781
7.42,80437.5,7.42,30531.25,-0.58,8496.875,7.42,65531.25,-0.58,35964.4531
7.4,79828.125,7.4,29615.625,-0.6,8503.5156,7.4,65878.125,-0.6,35392.5781
7.38,79090.625,7.38,28690.625,-0.62,8558.9844,7.38,65171.875,-0.62,34976.5625
7.36,78896.875,7.36,29421.875,-0.64,8348.8281,7.36,65596.875,-0.64,34416.7969
7.34,76825,7.34,28878.125,-0.66,8309.375,7.34,64475,-0.66,34087.5
7.32,75684.375,7.32,28681.25,-0.68,8181.25,7.32,65025,-0.68,33593.3594
7.3,74806.25,7.3,28428.125,-0.7,8056.6406,7.3,63328.125,-0.7,33101.1719
7.28,74221.875,7.28,27246.875,-0.72,8069.9219,7.28,63815.625,-0.72,32616.4063
7.26,72190.625,7.26,26890.625,-0.74,8052.7344,7.26,63531.25,-0.74,32182.0313
7.24,72256.25,7.24,26968.75,-0.76,8110.5469,7.24,62309.375,-0.76,31675
7.22,71831.25,7.22,26006.25,-0.78,7840.2344,7.22,62362.5,-0.78,31190.2344
7.2,70965.625,7.2,25565.625,-0.8,7883.9844,7.2,61162.5,-0.8,30740.625
7.18,69450,7.18,25837.5,-0.82,7846.4844,7.18,62003.125,-0.82,30516.7969
7.16,68906.25,7.16,25625,-0.84,7683.2031,7.16,61503.125,-0.84,29985.1563
7.14,67853.125,7.14,25046.875,-0.86,7680.8594,7.14,61165.625,-0.86,29511.3281
7.12,67571.875,7.12,25471.875,-0.88,7466.4063,7.12,61150,-0.88,29022.2656
7.1,66896.875,7.1,25296.875,-0.9,7550.3906,7.1,60253.125,-0.9,28514.8438
