"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
445,1.152352,1.151647,1.150979,1.151313,1.150859,1.148404,1.152347,1.154715,1.150988,1.152583,1.153992,1.152342,1.153184,1.155474,1.153543,1.152008
446,1.151981,1.151176,1.151172,1.151092,1.152835,1.152435,1.153178,1.152967,1.151726,1.153362,1.154081,1.153443,1.155134,1.154085,1.153929,1.153022
447,1.152099,1.150977,1.152345,1.151652,1.149883,1.150135,1.152079,1.150843,1.151645,1.15163,1.152191,1.15201,1.15157,1.153017,1.152312,1.150876
448,1.149158,1.149926,1.148266,1.1501,1.149238,1.149772,1.151553,1.151055,1.151363,1.152214,1.151926,1.150609,1.150023,1.151949,1.151351,1.149543
449,1.146878,1.148957,1.14518,1.146977,1.146604,1.148311,1.146343,1.149796,1.148738,1.148929,1.149799,1.14855,1.146886,1.150757,1.149838,1.147108
450,1.146364,1.147013,1.144415,1.145645,1.147576,1.144894,1.148079,1.144779,1.145764,1.145639,1.145994,1.145626,1.146289,1.146994,1.148451,1.144649
451,1.142924,1.143387,1.143435,1.141544,1.142666,1.143455,1.14475,1.143476,1.142978,1.145215,1.145041,1.144203,1.142896,1.145362,1.145677,1.141228
452,1.141945,1.142452,1.141183,1.141444,1.140602,1.144093,1.144694,1.145003,1.143839,1.143488,1.144276,1.144233,1.14385,1.145594,1.145282,1.14289
453,1.141087,1.140863,1.139949,1.139712,1.139881,1.139802,1.139434,1.140899,1.139271,1.141268,1.141371,1.141597,1.142883,1.143084,1.142925,1.140336
454,1.140079,1.138029,1.137925,1.137784,1.140828,1.139323,1.139649,1.141046,1.14034,1.140272,1.141288,1.140906,1.14186,1.141708,1.140904,1.139901
455,1.139253,1.138538,1.139056,1.138099,1.139171,1.137985,1.139609,1.140258,1.140184,1.140807,1.139128,1.141883,1.140763,1.140361,1.141569,1.138547
456,1.135809,1.134174,1.135642,1.135941,1.135212,1.135963,1.135284,1.136546,1.133186,1.137198,1.134911,1.137971,1.137139,1.13353,1.135792,1.134947
457,1.134095,1.134308,1.133082,1.134201,1.132843,1.133612,1.134472,1.134775,1.133755,1.13449,1.134348,1.135887,1.136723,1.135675,1.135351,1.135722
458,1.131525,1.131829,1.131372,1.130367,1.134075,1.133391,1.133171,1.133231,1.133172,1.132475,1.131729,1.132493,1.133067,1.13324,1.134984,1.133119
459,1.130837,1.131124,1.130364,1.131492,1.130373,1.130741,1.130863,1.130115,1.131281,1.131945,1.132466,1.131387,1.13129,1.132447,1.132507,1.130569
460,1.129183,1.129867,1.129265,1.127867,1.129092,1.130574,1.127438,1.128012,1.130047,1.131121,1.128754,1.129312,1.130453,1.131336,1.130279,1.128524
461,1.126473,1.126064,1.125578,1.124974,1.12752,1.128645,1.127616,1.128025,1.130735,1.128103,1.127545,1.127706,1.129474,1.127758,1.127419,1.126646
462,1.126572,1.127137,1.122592,1.125686,1.123537,1.124567,1.125291,1.125976,1.127894,1.126888,1.12742,1.127281,1.125437,1.127028,1.126767,1.124482
463,1.125973,1.123712,1.123131,1.123266,1.124733,1.125796,1.125237,1.127107,1.123902,1.125682,1.125462,1.126343,1.124007,1.124999,1.126112,1.125084
464,1.124728,1.123251,1.12238,1.123465,1.123277,1.125836,1.123881,1.124686,1.125381,1.124334,1.124346,1.126203,1.12465,1.126272,1.125077,1.123233
465,1.123034,1.123376,1.123894,1.120703,1.122501,1.123113,1.123389,1.123254,1.125241,1.123252,1.123388,1.12474,1.124431,1.123664,1.123497,1.12424
466,1.122288,1.122448,1.122907,1.121194,1.121877,1.124015,1.12392,1.122766,1.124019,1.124654,1.124323,1.124739,1.12357,1.125076,1.124275,1.124483
